designation,prix,image,category,pourcentage
"NIVEA Gommage Douceur aux myrtilles et riz 100% Bio, tube, 75ml",13.60,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/0024/1.jpg?8525,epicerie,"<div class=""tag _dsct"">14%</div>"
NIVEA Lait Corps Nourrissant  -  250ml,13.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/0133/1.jpg?3704,epicerie,"<div class=""tag _dsct"">45%</div>"
Baracca Chocolat Praliné  - 16 Pièces,20.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7671/1.jpg?3924,epicerie,"<div class=""tag _dsct"">54%</div>"
Chocolat Raffaello T23,29.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/1093/1.jpg?0543,epicerie,"<div class=""tag _dsct"">45%</div>"
Bebeto Gelée Cheese Cake 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/2044/1.jpg?7350,epicerie,"<div class=""tag _dsct"">22%</div>"
Ferrero Rocher Lot de 30 pièces de chocolat,39.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/6312/1.jpg?8591,epicerie,"<div class=""tag _dsct"">22%</div>"
Bebeto Gelée Licorne 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/2044/1.jpg?9478,epicerie,"<div class=""tag _dsct"">22%</div>"
Chupa Chups Melody Strawberry Lollipops,1.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/1504/1.jpg?9487,epicerie,"<div class=""tag _dsct"">30%</div>"
Bebeto Gelée Pastèque 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/2044/1.jpg?6476,epicerie,"<div class=""tag _dsct"">30%</div>"
Bebeto Gelée Ice Cream 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/2044/1.jpg?6645,epicerie,"<div class=""tag _dsct"">52%</div>"
Haribo Bonbon Phantasia 80g,4.99,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/2514/1.jpg?5545,epicerie,"<div class=""tag _dsct"">36%</div>"
Bebeto Gelée fruit de bois 70G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2044/1.jpg?8672,epicerie,"<div class=""tag _dsct"">64%</div>"
Haribo Bonbon Mix Fizz 70gr,4.65,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/3514/1.jpg?1426,epicerie,"<div class=""tag _dsct"">19%</div>"
Bebeto Gelée Boisson Cola 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/2044/1.jpg?7158,epicerie,"<div class=""tag _dsct"">38%</div>"
Bebeto Gelée Vers 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/2044/1.jpg?7458,epicerie,"<div class=""tag _dsct"">18%</div>"
Bebeto Gelée Mix 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/2044/1.jpg?6774,epicerie,"<div class=""tag _dsct"">19%</div>"
Bebeto Gelée Parc Ocean 80G,3.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2044/1.jpg?9253,epicerie,"<div class=""tag _dsct"">22%</div>"
"Pack de 50 Masque de Protection Médical ""ISO 9001"" - Bavette 3 Plies",17.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/7353/1.jpg?7769,epicerie,"<div class=""tag _dsct"">14%</div>"
Gel Désinfectant - Hydroalcoolique - 1 Litre - 70% ALCOOL,14.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/8923/1.jpg?6163,epicerie,"<div class=""tag _dsct"">16%</div>"
Nihel Gel Désinfectant - Hydroalcoolique - 1 Litre,14.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/6442/1.jpg?0624,epicerie,"<div class=""tag _dsct"">34%</div>"
Nova Pack de 5 flacons Nova 100 mL - Gel Désinfectant Hydroalcoolique,12.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9443/1.jpg?4924,epicerie,"<div class=""tag _dsct"">24%</div>"
Nova Flacon Nova avec Pompe - Gel Désinfectant Hydroalcoolique - 1 L,19.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/5753/1.jpg?0711,epicerie,"<div class=""tag _dsct"">13%</div>"
Rojanet Pack de 10 Gel Hydro-alcooliques + 2 Gratuit - 12 * 150 ML,31.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0272/1.jpg?4287,epicerie,"<div class=""tag _dsct"">24%</div>"
50 Masques médicales de protection respiratoire et d'hygiène - Bleu,50.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/1053/1.jpg?1506,epicerie,"<div class=""tag _dsct"">16%</div>"
Boite de 50 masques chirurgicaux de protection respiratoire  - Bleu,14.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/1713/1.jpg?7225,epicerie,"<div class=""tag _dsct"">41%</div>"
IOCOV Pack-Désinfectant Multi-Usage - Bactéricide - Virucide,26.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2513/1.jpg?1725,epicerie,"<div class=""tag _dsct"">40%</div>"
Lot de 50 - Masque médicale de protection respiratoire,18.99,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/5113/1.jpg?3668,epicerie,"<div class=""tag _dsct"">45%</div>"
Lys Gel hydroalcoolique désinfectant - 1L,19.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/6503/1.jpg?7526,epicerie,"<div class=""tag _dsct"">41%</div>"
Septanil Gel désinfectant anti bactérien puissant citron pour les mains 99.9% - 500ml - citron,18.20,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/7692/1.jpg?3374,epicerie,"<div class=""tag _dsct"">40%</div>"
Nova Solution Spray Nova - Désinfectant Hydroalcoolique pafumée au citron - 500 ml,12.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/9443/1.jpg?4924,epicerie,"<div class=""tag _dsct"">47%</div>"
Nova Pack de 4 Flacons 125 mL Nova - Gel Désinfectant Hydroalcoolique,12.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/9443/1.jpg?4924,epicerie,"<div class=""tag _dsct"">40%</div>"
Désinfectant BACTÉRICIDE multi-usage 5L,15.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/4343/1.jpg?3227,epicerie,"<div class=""tag _dsct"">21%</div>"
Jouda Tomate double concentré lot de 4 de 400 g,7.86,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/9624/1.jpg?6691,epicerie,"<div class=""tag _dsct"">30%</div>"
El Manar Lot de 3 Boites de Thon en morceaux - A l'huile de de tournesol - 140g*3,11.51,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/5873/1.jpg?7774,epicerie,"<div class=""tag _dsct"">51%</div>"
Sicam Harissa - 380 gr,2.85,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/0654/1.jpg?0020,epicerie,"<div class=""tag _dsct"">39%</div>"
Neblia Double concentré de tomate 4/4,3.74,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/3904/1.jpg?5656,epicerie,"<div class=""tag _dsct"">40%</div>"
Sidi Daoud Thon Entier Huile D'Olive 1900 Gr,51.74,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/9324/1.jpg?3622,epicerie,"<div class=""tag _dsct"">49%</div>"
Jouda Harissa - 135g,1.15,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3904/1.jpg?5609,epicerie,"<div class=""tag _dsct"">45%</div>"
Sidi Daoud Boite Aluminium Filet De Maquereaux Grilles Huile De Tournesol 170 Gr,4.58,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/9324/1.jpg?1329,epicerie,"<div class=""tag _dsct"">53%</div>"
El Manar Thon entier à l'huile d'olive vierge 700 g,22.08,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1954/1.jpg?1042,epicerie,"<div class=""tag _dsct"">38%</div>"
Sidi Daoud Thon Entier Huile D'Olive 60 Gr,2.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/9324/1.jpg?8662,epicerie,"<div class=""tag _dsct"">51%</div>"
El Manar Lot de 3 Thon entier - A l'huile d'olive vierge - 160g,16.79,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/4873/1.jpg?6899,epicerie,"<div class=""tag _dsct"">25%</div>"
El Manar Sardines au citron - 125g,1.82,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/1954/1.jpg?0355,epicerie,"<div class=""tag _dsct"">43%</div>"
Sidi Daoud Thon Entier Huile D'Olive 300 Gr,8.99,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/9324/1.jpg?8751,epicerie,"<div class=""tag _dsct"">51%</div>"
Jouda Double concentré de tomate 1/2,1.98,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/3904/1.jpg?5495,epicerie,"<div class=""tag _dsct"">31%</div>"
Jouda Harissa - 380g,2.59,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3904/1.jpg?5556,epicerie,"<div class=""tag _dsct"">65%</div>"
El Manar Filets de thon à l'huile d'olive vierge et tomates séchées 200g,8.60,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/1954/1.jpg?3565,epicerie,"<div class=""tag _dsct"">59%</div>"
KYUFI The Vert Soluble Menthe Ss Sucre 9G,7.12,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/5824/1.jpg?6520,epicerie,"<div class=""tag _dsct"">11%</div>"
KYUFI The Vert Soluble Menthe Av Sucre 75G,7.28,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/5824/1.jpg?6420,epicerie,"<div class=""tag _dsct"">10%</div>"
Delice Fruzzy Tropical - 125 Ml,0.49,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/3973/1.jpg?6762,epicerie,"<div class=""tag _dsct"">38%</div>"
KYUFI The Vert Soluble Ss Sucre,6.07,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/5824/1.jpg?6625,epicerie,"<div class=""tag _dsct"">18%</div>"
Kent Café Turk sucre moyen 9g,0.82,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/2044/1.jpg?7426,epicerie,"<div class=""tag _dsct"">40%</div>"
Delice Fruzzy Orange - 125 Ml,0.49,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/3973/1.jpg?6684,epicerie,"<div class=""tag _dsct"">39%</div>"
"Delice Punch Pulpe Orange 1,5L",2.33,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/3973/1.jpg?7663,epicerie,"<div class=""tag _dsct"">44%</div>"
Brava Chicorée 100 Gr,6.42,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/4034/1.jpg?9833,epicerie,"<div class=""tag _dsct"">34%</div>"
vanoise Lait Concentré Sucré 397 gr,6.62,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9383/1.jpg?9644,epicerie,"<div class=""tag _dsct"">8%</div>"
Delice Jus Orange 20 Cl,0.72,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/3973/1.jpg?7354,epicerie,"<div class=""tag _dsct"">44%</div>"
Kent Cafe soluble Capuccino Chocolat st 12.5g,1.09,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/2044/1.jpg?5262,epicerie,"<div class=""tag _dsct"">34%</div>"
Delice Lait Arom Choc 10Cl Laitgo,0.45,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2973/1.jpg?5631,epicerie,"<div class=""tag _dsct"">63%</div>"
"Delice Punch Cidre - 1,5L",2.40,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/3973/1.jpg?1151,epicerie,"<div class=""tag _dsct"">49%</div>"
Delice Pack de 06 Lait écrémé - 1L,10.80,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2914/1.jpg?7595,epicerie,"<div class=""tag _dsct"">38%</div>"
"Delice Punch Pomme 0,3L",0.88,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/3973/1.jpg?7161,epicerie,"<div class=""tag _dsct"">40%</div>"
Dettol Antiseptique Classique Liquide - 500ml,13.59,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/6472/1.jpg?7729,epicerie,"<div class=""tag _dsct"">52%</div>"
Dettol Pack de 2 - 4en1 - Multi-action Citron - 2x900ml,20.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6153/1.jpg?9768,epicerie,"<div class=""tag _dsct"">63%</div>"
Vanish Oxi Action Détachant textile - Liquide - 450ml,8.30,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/0873/1.jpg?6147,epicerie,"<div class=""tag _dsct"">60%</div>"
Dettol Pack de 2 - 4en1 - Multi-action Aqua - 2x900ml,20.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/1904/1.jpg?7684,epicerie,"<div class=""tag _dsct"">58%</div>"
Aérosol Pure - Douceur de Coton,13.28,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/6404/1.jpg?9146,epicerie,"<div class=""tag _dsct"">49%</div>"
Cillit Bang Nettoyant - Adieu Au Calcaire - 750ml,15.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0973/1.jpg?9146,epicerie,"<div class=""tag _dsct"">49%</div>"
Dettol 4en1 - Multi-action Aqua - 900ml,11.70,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/6472/1.jpg?3087,epicerie,"<div class=""tag _dsct"">46%</div>"
Dettol 4en1 - Multi-action Citron - 900ml,11.70,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6223/1.jpg?5165,epicerie,"<div class=""tag _dsct"">60%</div>"
Dettol Antiseptique Classique Liquide - 125ml,5.12,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/5262/1.jpg?5168,epicerie,"<div class=""tag _dsct"">64%</div>"
Vanish Oxi Action Détachant textile - Poudre - 250g,8.75,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0873/1.jpg?6779,epicerie,"<div class=""tag _dsct"">59%</div>"
Dettol Pack de 2 - Gel Douche Original Antibactérien - Parfum de Pin - 2x250ml,17.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/6153/1.jpg?5166,epicerie,"<div class=""tag _dsct"">57%</div>"
Dettol Gel Douche Original Antibactérien - Parfum de Pin - 250ml,9.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/0543/1.jpg?6612,epicerie,"<div class=""tag _dsct"">26%</div>"
Dettol Gel Douche Fresh Antibactérien - Agrumes & Fleur d'Oranger - 250ml,9.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0543/1.jpg?5161,epicerie,"<div class=""tag _dsct"">25%</div>"
NIVEA Déodorant Roll On Double Effect - 50ml,8.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/0133/1.jpg?3704,epicerie,"<div class=""tag _dsct"">29%</div>"
Balea Pack-2-Gel Douche - Secrets de Beauté Lait de Riz - 250 ML,8.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/9313/1.jpg?0673,epicerie,"<div class=""tag _dsct"">57%</div>"
NIVEA Eau Micellaire Démaquillante Peaux Sensibles - 400ML,20.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/9033/1.jpg?3705,epicerie,"<div class=""tag _dsct"">28%</div>"
Gillette Pack Simply Venus2 *8+4,13.45,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/9194/1.jpg?7823,epicerie,"<div class=""tag _dsct"">39%</div>"
Coro'Clean Gel antibactérien désinfectant - alcoolisé  Coro'Clean 250ml,6.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3932/1.jpg?8679,epicerie,"<div class=""tag _dsct"">49%</div>"
Gillette Rasaoir Fusion5 (Tête à 5 Lames) + 5 Lames de Recharge Fusion5,59.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/2242/1.jpg?6634,epicerie,"<div class=""tag _dsct"">25%</div>"
Gillette Pack Bleu III 9+3,22.61,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/9194/1.jpg?7738,epicerie,"<div class=""tag _dsct"">9%</div>"
Gillette Rasaoir Mach3 + 2 Lames de Recharge Gratuit,14.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2242/1.jpg?2532,epicerie,"<div class=""tag _dsct"">63%</div>"
Balea Pack 2 Déodorant Men Fresh - 2 x 200 ML,13.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/5891/1.jpg?2053,epicerie,"<div class=""tag _dsct"">65%</div>"
Rexona Déodorant Tropical - Fresh Confidence 48h - 200ml,10.09,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/0903/1.jpg?1371,epicerie,"<div class=""tag _dsct"">39%</div>"
Gillette Pack Simply Venus2 *4+2,6.72,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/9194/1.jpg?7786,epicerie,"<div class=""tag _dsct"">42%</div>"
Balea Pack 2 Déodorant Men Extra Dry - 2 x 200 ML,13.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/5891/1.jpg?2057,epicerie,"<div class=""tag _dsct"">40%</div>"
Flexol Pack 2  - Anti-Insect - Parfum Citron - 2 * 400 ML,8.50,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/1791/1.jpg?1766,epicerie,"<div class=""tag _dsct"">14%</div>"
Gillette Lames Pour Elle Vénus,25.94,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/9194/1.jpg?7591,epicerie,"<div class=""tag _dsct"">45%</div>"
Balea Pack 2 - Déodorant Women Extra Dry - 2 x 200 ML,13.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/5452/1.jpg?6326,epicerie,"<div class=""tag _dsct"">54%</div>"
Lilas Essuie Tout Clean Classic - 2 Rouleaux,3.20,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7093/1.jpg?4698,epicerie,"<div class=""tag _dsct"">45%</div>"
Lilas Essuie Tout Professionnel - 1 Rouleau,8.40,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/7093/1.jpg?6564,epicerie,"<div class=""tag _dsct"">22%</div>"
Lilas Papier Hygiénique Extra Fleurie - Blanc - 4 Rouleaux,2.30,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7093/1.jpg?2740,epicerie,"<div class=""tag _dsct"">22%</div>"
Lilas Essuie Tout Extra Fleurie - Jaune - 8 Rouleaux,9.77,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/7093/1.jpg?3091,epicerie,"<div class=""tag _dsct"">22%</div>"
Lilas Essuie Tout Maxi Méga - 1 Rouleau,10.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/7093/1.jpg?0882,epicerie,"<div class=""tag _dsct"">30%</div>"
Lilas Protèges Slips Liladays Classic Normal Pocket 22 Pièces,2.55,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/0983/1.jpg?4851,epicerie,"<div class=""tag _dsct"">30%</div>"
Lilas Serviettes - Micro Aérée Contrôle Des Odeurs Nuit 8 Pièces,2.65,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/0983/1.jpg?0057,epicerie,"<div class=""tag _dsct"">52%</div>"
Lilas Essuie Tout Extra Fleurie - Blanc - 2 Rouleaux,3.20,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/7093/1.jpg?0427,epicerie,"<div class=""tag _dsct"">36%</div>"
Lilas Protèges Slips Liladays Classic Normal 24 Pièces,2.63,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/0983/1.jpg?4654,epicerie,"<div class=""tag _dsct"">64%</div>"
Lilas Couche Adult Pants Medium 14 Pièces,29.93,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/0983/1.jpg?0981,epicerie,"<div class=""tag _dsct"">19%</div>"
Lilas Couche Adult Pants Large 14 Pièces,30.15,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/0983/1.jpg?1158,epicerie,"<div class=""tag _dsct"">38%</div>"
Lilas Couche Adult Pants Medium 10 Pièces,21.24,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/0983/1.jpg?0707,epicerie,"<div class=""tag _dsct"">18%</div>"
Lilas Serviettes - Micro Aérée Nuit Plus 8 Pièces,2.72,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0983/1.jpg?1909,epicerie,"<div class=""tag _dsct"">19%</div>"
Lilas Protèges Slips Liladays Classic Extra Long 20 Pièces,2.63,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/0983/1.jpg?5474,epicerie,"<div class=""tag _dsct"">22%</div>"
Lilas Protèges Slips Liladays Micro Aere Normal 22 Pièces,2.63,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/0983/1.jpg?5121,epicerie,"<div class=""tag _dsct"">14%</div>"
Moulin d'or Pack Brownis,2.10,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/9614/1.jpg?5147,epicerie,"<div class=""tag _dsct"">16%</div>"
Pringles Chips BBQ - 165gr,9.29,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/0483/1.jpg?7453,epicerie,"<div class=""tag _dsct"">34%</div>"
Sicam Confiture Coing 1/2,2.35,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/0654/1.jpg?8933,epicerie,"<div class=""tag _dsct"">24%</div>"
"Delice Punch Pomme 1,5L",2.39,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/3973/1.jpg?7311,epicerie,"<div class=""tag _dsct"">13%</div>"
Judy Vaisselle 325 ml Citron,2.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/4804/1.jpg?9061,epicerie,"<div class=""tag _dsct"">24%</div>"
Delice Fruzzy Orange 19 Cl,0.83,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/3973/1.jpg?6487,epicerie,"<div class=""tag _dsct"">16%</div>"
"2 B CLEAN 10 Sacs Poubelles 50L Avec Liens Bleu 14,5 Microns",3.75,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/7314/1.jpg?0365,epicerie,"<div class=""tag _dsct"">41%</div>"
Moulin d'or Donuts Fraise,0.53,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/9614/1.jpg?1260,epicerie,"<div class=""tag _dsct"">40%</div>"
Moulin d'or Pack Crostatini Abricot,1.97,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/9614/1.jpg?5425,epicerie,"<div class=""tag _dsct"">45%</div>"
Lilas Essuie Tout Clean Classic - 2 Rouleaux,3.20,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7093/1.jpg?4698,epicerie,"<div class=""tag _dsct"">41%</div>"
L'EPI D'OR Pâte- Nouasser - 750Gr,2.99,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/9773/1.jpg?1383,epicerie,"<div class=""tag _dsct"">40%</div>"
El Manar Boulettes de sardine à l'harissa 125 g,2.08,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/1954/1.jpg?2682,epicerie,"<div class=""tag _dsct"">47%</div>"
Judy Nettoyant Sols et Surfaces 800mL Brise,3.62,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/3804/1.jpg?4197,epicerie,"<div class=""tag _dsct"">40%</div>"
Bahlsen Biscuits Waffeletten Milk 100G,7.78,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/4824/1.jpg?4259,epicerie,"<div class=""tag _dsct"">21%</div>"
Moulin d'or Milk Cake,0.51,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/9614/1.jpg?3704,epicerie,"<div class=""tag _dsct"">30%</div>"
"Pack de 50 Masque de Protection Médical ""ISO 9001"" - Bavette 3 Plies",15.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/8213/1.jpg?3164,epicerie,"<div class=""tag _dsct"">51%</div>"
Delice Pack de 06 Lait UHT - 1/2 écrémé - 1L,8.10,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/2914/1.jpg?6141,epicerie,"<div class=""tag _dsct"">39%</div>"
Indomie Nouilles cup poulet - 60 Gr,1.62,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/8634/1.jpg?3786,epicerie,"<div class=""tag _dsct"">40%</div>"
Bonsoir Noix de Cajou - Salé - 1 KG,45.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/3882/1.jpg?3377,epicerie,"<div class=""tag _dsct"">49%</div>"
Sidi Daoud Lot 4 Boîtes Thon dont 1 Gratuit - 160gr - Huile végétale,13.62,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5384/1.jpg?7890,epicerie,"<div class=""tag _dsct"">45%</div>"
Lilas Essuie Tout Maxi Méga - 1 Rouleau,10.90,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/7093/1.jpg?0882,epicerie,"<div class=""tag _dsct"">53%</div>"
Lot de 50 bavettes - Masques 3 plis - pour ENFANTS de 8 à 16 ans,15.00,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/9133/1.jpg?1083,epicerie,"<div class=""tag _dsct"">38%</div>"
Indomie Nouilles cup curry 60 Gr,1.62,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/8634/1.jpg?4324,epicerie,"<div class=""tag _dsct"">51%</div>"
Jouda Tomate double concentré lot de 4 de 400 g,7.86,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/9624/1.jpg?6691,epicerie,"<div class=""tag _dsct"">25%</div>"
Cristaline Pack de 6 bouteilles D'eau - 1.5 L,3.53,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/8234/1.jpg?3959,epicerie,"<div class=""tag _dsct"">43%</div>"
